solution_concentration,polymer_mw,polymer_dispersity,hole_mobility,post_process,film_deposition_type_spin,solvent_boiling_point,delta_d,delta_p,delta_h,blend_conjugated_polymer,insulating_polymer,substrate_pretreat_sam,solution_treatment_poor_solvent
4,299,3.32,0.11,1,1,132,9.29,2.1,0.98,0,0,0,0
4,299,3.32,0.29,1,1,132,9.29,2.1,0.98,0,0,1,0
4,299,3.32,0.23,1,1,132,9.29,2.1,0.98,0,0,1,0
4,299,3.32,0.73,1,1,132,9.29,2.1,0.98,0,0,1,0
4,299,3.32,1.86,1,1,132,9.29,2.1,0.98,0,0,1,0
4,299,3.32,0.21,1,1,132,9.29,2.1,0.98,0,0,1,0
4,299,3.32,0.34,1,1,132,9.29,2.1,0.98,0,0,1,0
4,299,3.32,0.24,1,1,132,9.29,2.1,0.98,0,0,1,0
4,299,3.32,1.97,1,1,132,9.29,2.1,0.98,0,0,1,0
4,299,3.32,0.69,1,1,132,9.29,2.1,0.98,0,0,1,0
4,299,3.32,2.04,1,1,132,9.29,2.1,0.98,0,0,1,0
5,292.2,3.9,0.81,1,1,62,17.8,3.1,5.7,0,0,0,0
5,292.2,3.9,1.53,1,1,62,17.8,3.1,5.7,0,1,0,0
5,292.2,3.9,0.9,1,1,62,17.8,3.1,5.7,0,1,0,0
5,292.2,3.9,1.1,1,1,62,17.8,3.1,5.7,0,1,0,0
5,292.2,3.9,1.25,1,1,62,17.8,3.1,5.7,0,1,0,0
5,292.2,3.9,1.3,1,1,62,17.8,3.1,5.7,0,1,0,0
5,292.2,3.9,1.25,1,1,62,17.8,3.1,5.7,0,1,0,0
5,292.2,3.9,0.9,1,1,62,17.8,3.1,5.7,0,1,0,0
5,292.2,3.9,0.6,1,1,62,17.8,3.1,5.7,0,1,0,0
5,501,4.55,6.85,1,1,132,9.29,2.1,0.98,0,0,1,0
5,501,4.55,7.25,1,1,132,9.29,2.1,0.98,0,0,1,0
5,501,4.55,5.75,1,1,132,9.29,2.1,0.98,0,0,1,0
5,501,4.55,7.95,1,1,132,9.29,2.1,0.98,0,0,1,0
5,501,4.55,7.85,1,1,132,9.29,2.1,0.98,0,0,1,0
5,501,4.55,0.15,1,1,132,9.29,2.1,0.98,0,0,1,0
5,501,4.55,2.1,1,1,132,9.29,2.1,0.98,0,0,1,0
5,501,4.55,9,1,1,132,9.29,2.1,0.98,0,0,1,0
