solution_concentration,polymer_mw,polymer_mn,polymer_dispersity,hole_mobility,solution_treatment,substrate_pretreatment,post_process,channel_width,channel_length,dielectric_thickness,film_deposition_type_drop,film_deposition_type_spin,dielectric_material_SiO2,electrode_configuration_BGBC,electrode_configuration_BGTC,electrode_configuration_TGBC,gate_material_Other,film_deposition_type_MGC,dielectric_material_other,solvent_boiling_point,blend_conjugated_polymer,insulating_polymer,treatment_type_sam,treatment_type_plasma,treatment_type_uv_ozone,solution_treatment_poor_solvent,solution_treatment_aging,solution_treatment_sonication,solution_treatment_mixing,solution_treatment_uv_irradiation
7,290,143,2.03,0.0641,0,1,1,1000,30,220,0,1,1,0,1,0,0,0,0,180.1,0,0,1,0,0,0,0,0,0,0
6.5,100,67,3,0.2,0,0,1,3000,120,400,0,1,0,0,1,0,0,0,1,62,0,0,0,0,0,0,0,0,0,0
1.6,279,77,3.65,0.09,0,1,1,1000,100,200,0,1,1,1,0,0,0,0,0,62,0,0,1,0,0,0,0,0,0,0
1.6,279,77,3.65,0.14,1,1,1,1000,100,200,0,1,1,1,0,0,0,0,0,62,0,0,1,0,0,1,0,0,0,0
0.5,102,43,2,0.00015,0,1,1,800,40,300,0,0,1,0,1,0,0,1,0,62,0,0,1,0,0,0,0,0,0,0
0.75,102,43,2,0.02,0,1,1,800,40,300,0,0,1,0,1,0,0,1,0,62,0,0,1,0,0,0,0,0,0,0
1,102,43,2,0.06,0,1,1,800,40,300,0,0,1,0,1,0,0,1,0,62,0,0,1,0,0,0,0,0,0,0
2,102,43,2,0.15,0,1,1,800,40,300,0,0,1,0,1,0,0,1,0,62,0,0,1,0,0,0,0,0,0,0
5,102,43,2,0.45,0,1,1,800,40,300,0,0,1,0,1,0,0,1,0,62,0,0,1,0,0,0,0,0,0,0
0.5,102,43,2,0.00045,0,1,1,800,40,300,0,0,1,0,1,0,0,1,0,62,0,0,1,0,0,0,0,0,0,0
0.75,102,43,2,0.45,0,1,1,800,40,300,0,0,1,0,1,0,0,1,0,62,0,0,1,0,0,0,0,0,0,0
1,102,43,2,0.2,0,1,1,800,40,300,0,0,1,0,1,0,0,1,0,62,0,0,1,0,0,0,0,0,0,0
2,102,43,2,0.8,0,1,1,800,40,300,0,0,1,0,1,0,0,1,0,62,0,0,1,0,0,0,0,0,0,0
5,102,43,2,0.5,0,1,1,800,40,300,0,0,1,0,1,0,0,1,0,62,0,0,1,0,0,0,0,0,0,0
5,104,20,5.2,0.1,0,1,1,4500,70,300,0,0,1,0,1,0,0,1,0,62,0,0,1,0,0,0,0,0,0,0
7,104,20,5.2,0.17,0,1,1,4500,70,300,0,0,1,0,1,0,0,1,0,62,0,0,1,0,0,0,0,0,0,0
8.5,104,20,5.2,0.15,0,1,1,4500,70,300,0,0,1,0,1,0,0,1,0,62,0,0,1,0,0,0,0,0,0,0
10,104,20,5.2,0.28,0,1,1,4500,70,300,0,0,1,0,1,0,0,1,0,62,0,0,1,0,0,0,0,0,0,0
12,104,20,5.2,0.2,0,1,1,4500,70,300,0,0,1,0,1,0,0,1,0,62,0,0,1,0,0,0,0,0,0,0
14,104,20,5.2,0.29,0,1,1,4500,70,300,0,0,1,0,1,0,0,1,0,62,0,0,1,0,0,0,0,0,0,0
16,104,20,5.2,0.325,0,1,1,4500,70,300,0,0,1,0,1,0,0,1,0,62,0,0,1,0,0,0,0,0,0,0
18,104,20,5.2,0.36,0,1,1,4500,70,300,0,0,1,0,1,0,0,1,0,62,0,0,1,0,0,0,0,0,0,0
25,104,20,5.2,0.4,0,1,1,4500,70,300,0,0,1,0,1,0,0,1,0,62,0,0,1,0,0,0,0,0,0,0
5,104,20,5.2,0.18,0,1,1,4500,70,300,0,0,1,0,1,0,0,1,0,62,0,0,1,0,0,0,0,0,0,0
7,104,20,5.2,0.28,0,1,1,4500,70,300,0,0,1,0,1,0,0,1,0,62,0,0,1,0,0,0,0,0,0,0
8.5,104,20,5.2,0.23,0,1,1,4500,70,300,0,0,1,0,1,0,0,1,0,62,0,0,1,0,0,0,0,0,0,0
10,104,20,5.2,0.315,0,1,1,4500,70,300,0,0,1,0,1,0,0,1,0,62,0,0,1,0,0,0,0,0,0,0
12,104,20,5.2,0.18,0,1,1,4500,70,300,0,0,1,0,1,0,0,1,0,62,0,0,1,0,0,0,0,0,0,0
14,104,20,5.2,0.28,0,1,1,4500,70,300,0,0,1,0,1,0,0,1,0,62,0,0,1,0,0,0,0,0,0,0
16,104,20,5.2,0.3,0,1,1,4500,70,300,0,0,1,0,1,0,0,1,0,62,0,0,1,0,0,0,0,0,0,0
18,104,20,5.2,0.28,0,1,1,4500,70,300,0,0,1,0,1,0,0,1,0,62,0,0,1,0,0,0,0,0,0,0
25,104,20,5.2,0.275,0,1,1,4500,70,300,0,0,1,0,1,0,0,1,0,62,0,0,1,0,0,0,0,0,0,0
3,104,20,5.2,0.08,0,1,1,4500,70,447,0,0,0,0,0,1,0,1,1,62,0,0,1,0,0,0,0,0,0,0
5,104,20,5.2,0.125,0,1,1,4500,70,447,0,0,0,0,0,1,0,1,1,62,0,0,1,0,0,0,0,0,0,0
7,104,20,5.2,0.08,0,1,1,4500,70,447,0,0,0,0,0,1,0,1,1,62,0,0,1,0,0,0,0,0,0,0
8.5,104,20,5.2,0.08,0,1,1,4500,70,447,0,0,0,0,0,1,0,1,1,62,0,0,1,0,0,0,0,0,0,0
10,104,20,5.2,0.08,0,1,1,4500,70,447,0,0,0,0,0,1,0,1,1,62,0,0,1,0,0,0,0,0,0,0
12,104,20,5.2,0.13,0,1,1,4500,70,447,0,0,0,0,0,1,0,1,1,62,0,0,1,0,0,0,0,0,0,0
14,104,20,5.2,0.125,0,1,1,4500,70,447,0,0,0,0,0,1,0,1,1,62,0,0,1,0,0,0,0,0,0,0
16,104,20,5.2,0.05,0,1,1,4500,70,447,0,0,0,0,0,1,0,1,1,62,0,0,1,0,0,0,0,0,0,0
18,104,20,5.2,0.075,0,1,1,4500,70,447,0,0,0,0,0,1,0,1,1,62,0,0,1,0,0,0,0,0,0,0
25,104,20,5.2,0.095,0,1,1,4500,70,447,0,0,0,0,0,1,0,1,1,62,0,0,1,0,0,0,0,0,0,0
3,104,20,5.2,0.055,0,1,1,4500,70,447,0,0,0,0,0,1,0,1,1,62,0,0,1,0,0,0,0,0,0,0
5,104,20,5.2,0.325,0,1,1,4500,70,447,0,0,0,0,0,1,0,1,1,62,0,0,1,0,0,0,0,0,0,0
7,104,20,5.2,0.3,0,1,1,4500,70,447,0,0,0,0,0,1,0,1,1,62,0,0,1,0,0,0,0,0,0,0
10,104,20,5.2,0.35,0,1,1,4500,70,447,0,0,0,0,0,1,0,1,1,62,0,0,1,0,0,0,0,0,0,0
12,104,20,5.2,0.38,0,1,1,4500,70,447,0,0,0,0,0,1,0,1,1,62,0,0,1,0,0,0,0,0,0,0
14,104,20,5.2,0.425,0,1,1,4500,70,447,0,0,0,0,0,1,0,1,1,62,0,0,1,0,0,0,0,0,0,0
18,104,20,5.2,0.4,0,1,1,4500,70,447,0,0,0,0,0,1,0,1,1,62,0,0,1,0,0,0,0,0,0,0
25,104,20,5.2,0.3,0,1,1,4500,70,447,0,0,0,0,0,1,0,1,1,62,0,0,1,0,0,0,0,0,0,0
3,292,143,2.03,0.336,0,1,1,2000,50,300,0,0,1,1,0,0,0,1,0,132,0,0,1,0,0,0,0,0,0,0
4,292,143,2.03,0.401,0,1,1,2000,50,300,0,0,1,1,0,0,0,1,0,132,0,0,1,0,0,0,0,0,0,0
5,292,143,2.03,0.56,0,1,1,2000,50,300,0,0,1,1,0,0,0,1,0,132,0,0,1,0,0,0,0,0,0,0
6,292,143,2.03,0.442,0,1,1,2000,50,300,0,0,1,1,0,0,0,1,0,132,0,0,1,0,0,0,0,0,0,0
8,292,143,2.03,0.397,0,1,1,2000,50,300,0,0,1,1,0,0,0,1,0,132,0,0,1,0,0,0,0,0,0,0
5,255,94.4,2.7,0.8,0,1,0,8800,80,300,0,1,1,1,0,0,0,0,0,180.1,0,0,1,0,0,0,0,0,0,0
10,193.5,50,3.87,0.47,0,1,1,10000,20,550,0,1,0,0,0,1,1,0,1,180.1,0,0,0,1,0,0,0,0,0,0
10,193.5,50,3.87,1.23,0,1,1,10000,20,550,0,1,0,0,0,1,1,0,1,180.1,0,0,0,1,0,0,0,0,0,0
10,193.5,50,3.87,0.93,0,1,1,10000,20,550,0,1,0,0,0,1,1,0,1,180.1,0,0,0,1,0,0,0,0,0,0
10,193.5,50,3.87,1.36,0,0,1,10000,20,550,0,1,0,0,0,1,1,0,1,180.1,0,0,0,0,0,0,0,0,0,0
8,54.79,20.052,2.73,0.16,0,1,0,4400,52,300,0,0,1,0,1,0,0,1,0,62,0,0,1,0,0,0,0,0,0,0
8,54.79,20.052,2.73,0.32,0,1,0,4400,52,300,0,0,1,0,1,0,0,1,0,62,0,0,1,0,0,0,0,0,0,0
12,54.79,20.052,2.73,0.24,0,1,0,4400,52,300,0,0,1,0,1,0,0,1,0,62,0,0,1,0,0,0,0,0,0,0
12,54.79,20.052,2.73,0.27,0,1,0,4400,52,300,0,0,1,0,1,0,0,1,0,62,0,0,1,0,0,0,0,0,0,0
27,54.79,20.052,2.73,0.25,0,1,0,4400,52,300,0,0,1,0,1,0,0,1,0,62,0,0,1,0,0,0,0,0,0,0
27,54.79,20.052,2.73,0.2,0,1,0,4400,52,300,0,0,1,0,1,0,0,1,0,62,0,0,1,0,0,0,0,0,0,0
4,250,68,3.67,0.8,0,1,1,1500,80,300,0,1,1,0,1,0,0,0,0,180.1,0,0,1,0,0,0,0,0,0,0
2,204,66,3.1,0.042815914,0,0,1,2000,50,300,0,0,1,1,0,0,0,1,0,132,0,0,0,0,0,0,0,0,0,0
6,204,66,3.1,0.113931203,0,0,1,2000,50,300,0,0,1,1,0,0,0,1,0,132,0,0,0,0,0,0,0,0,0,0
10,204,66,3.1,0.061765646,0,0,1,2000,50,300,0,0,1,1,0,0,0,1,0,132,0,0,0,0,0,0,0,0,0,0
5,204,66,3.1,0.22,0,0,1,2000,50,300,0,0,1,1,0,0,0,1,0,132,0,0,0,0,0,0,0,0,0,0
5,292,143,2.03,0.105,0,0,1,2000,50,300,0,0,1,1,0,0,0,1,0,132,0,0,0,0,0,0,0,0,0,0
5,204,66,3.1,0.077,0,0,1,2000,50,300,0,0,1,1,0,0,0,1,0,132,0,0,0,0,0,0,0,0,0,0
5,110,44,2.5,0.052,0,0,1,2000,50,300,0,0,1,1,0,0,0,1,0,132,0,0,0,0,0,0,0,0,0,0
5,152,55,2.76,0.047,0,0,1,2000,50,300,0,0,1,1,0,0,0,1,0,132,0,0,0,0,0,0,0,0,0,0
5,292,143,2.03,0.104,0,0,1,2000,50,300,0,0,1,1,0,0,0,1,0,132,0,0,0,0,0,0,0,0,0,0
5,204,66,3.1,0.187176952,0,1,1,2000,50,300,0,0,1,1,0,0,0,1,0,132,0,1,1,0,0,0,0,0,0,0
5,204,66,3.1,0.190528892,0,1,1,2000,50,300,0,0,1,1,0,0,0,1,0,132,0,1,1,0,0,0,0,0,0,0
5,204,66,3.1,0.180283392,0,1,1,2000,50,300,0,0,1,1,0,0,0,1,0,132,0,1,1,0,0,0,0,0,0,0
5,204,66,3.1,0.159097091,0,1,1,2000,50,300,0,0,1,1,0,0,0,1,0,132,0,1,1,0,0,0,0,0,0,0
5,204,66,3.1,0.129223278,0,1,1,2000,50,300,0,0,1,1,0,0,0,1,0,132,0,0,1,0,0,0,0,0,0,0
5,292,143,2.03,0.143916963,0,0,1,2000,50,300,0,0,1,1,0,0,0,1,0,132,0,1,0,0,0,0,0,0,0,0
5,292,143,2.03,0.176246253,0,0,1,2000,50,300,0,0,1,1,0,0,0,1,0,132,0,1,0,0,0,0,0,0,0,0
5,292,143,2.03,0.174301807,0,0,1,2000,50,300,0,0,1,1,0,0,0,1,0,132,0,1,0,0,0,0,0,0,0,0
5,292,143,2.03,0.092924906,0,0,1,2000,50,300,0,0,1,1,0,0,0,1,0,132,0,1,0,0,0,0,0,0,0,0
5,292,143,2.03,0.074402888,0,0,1,2000,50,300,0,0,1,1,0,0,0,1,0,132,0,0,0,0,0,0,0,0,0,0
5,292,143,2.03,0.124165231,0,1,1,2000,50,300,0,0,1,1,0,0,0,1,0,132,0,1,1,0,0,0,0,0,0,0
5,292,143,2.03,0.370376245,0,1,1,2000,50,300,0,0,1,1,0,0,0,1,0,132,0,1,1,0,0,0,0,0,0,0
5,292,143,2.03,0.319754,0,1,1,2000,50,300,0,0,1,1,0,0,0,1,0,132,0,1,1,0,0,0,0,0,0,0
5,292,143,2.03,0.257337819,0,1,1,2000,50,300,0,0,1,1,0,0,0,1,0,132,0,1,1,0,0,0,0,0,0,0
5,292,143,2.03,0.193502465,0,1,1,2000,50,300,0,0,1,1,0,0,0,1,0,132,0,0,1,0,0,0,0,0,0,0
2,204,66,3.1,0.012535433,0,0,1,2000,50,300,0,0,1,1,0,0,0,1,0,132,0,0,0,0,0,0,0,0,0,0
4,204,66,3.1,0.038332987,0,0,1,2000,50,300,0,0,1,1,0,0,0,1,0,132,0,0,0,0,0,0,0,0,0,0
6,204,66,3.1,0.101182024,0,0,1,2000,50,300,0,0,1,1,0,0,0,1,0,132,0,0,0,0,0,0,0,0,0,0
7,204,66,3.1,0.198600871,0,0,1,2000,50,300,0,0,1,1,0,0,0,1,0,132,0,0,0,0,0,0,0,0,0,0
8,204,66,3.1,0.163841797,0,0,1,2000,50,300,0,0,1,1,0,0,0,1,0,132,0,0,0,0,0,0,0,0,0,0
10,204,66,3.1,0.170187205,0,0,1,2000,50,300,0,0,1,1,0,0,0,1,0,132,0,0,0,0,0,0,0,0,0,0
2,110,44,2.5,0.000412427,0,0,1,2000,50,300,0,0,1,1,0,0,0,1,0,132,0,0,0,0,0,0,0,0,0,0
4,110,44,2.5,0.007139338,0,0,1,2000,50,300,0,0,1,1,0,0,0,1,0,132,0,0,0,0,0,0,0,0,0,0
6,110,44,2.5,0.03741155,0,0,1,2000,50,300,0,0,1,1,0,0,0,1,0,132,0,0,0,0,0,0,0,0,0,0
8,110,44,2.5,0.072671825,0,0,1,2000,50,300,0,0,1,1,0,0,0,1,0,132,0,0,0,0,0,0,0,0,0,0
9,110,44,2.5,0.0637786,0,0,1,2000,50,300,0,0,1,1,0,0,0,1,0,132,0,0,0,0,0,0,0,0,0,0
10,110,44,2.5,0.027641647,0,0,1,2000,50,300,0,0,1,1,0,0,0,1,0,132,0,0,0,0,0,0,0,0,0,0
12,110,44,2.5,0.046912305,0,0,1,2000,50,300,0,0,1,1,0,0,0,1,0,132,0,0,0,0,0,0,0,0,0,0
2,204,66,3.1,0.011942893,0,1,1,2000,50,300,0,0,1,1,0,0,0,1,0,132,0,0,1,0,0,0,0,0,0,0
4,204,66,3.1,0.042119677,0,1,1,2000,50,300,0,0,1,1,0,0,0,1,0,132,0,0,1,0,0,0,0,0,0,0
6,204,66,3.1,0.148003545,0,1,1,2000,50,300,0,0,1,1,0,0,0,1,0,132,0,0,1,0,0,0,0,0,0,0
7,204,66,3.1,0.111808435,0,1,1,2000,50,300,0,0,1,1,0,0,0,1,0,132,0,0,1,0,0,0,0,0,0,0
8,204,66,3.1,0.163626472,0,1,1,2000,50,300,0,0,1,1,0,0,0,1,0,132,0,0,1,0,0,0,0,0,0,0
10,204,66,3.1,0.141647659,0,1,1,2000,50,300,0,0,1,1,0,0,0,1,0,132,0,0,1,0,0,0,0,0,0,0
