solution_concentration,polymer_mw,polymer_mn,polymer_dispersity,hole_mobility,post_process,film_deposition_type_spin,film_deposition_type_MGC,solvent_boiling_point,blend_conjugated_polymer,insulating_polymer,substrate_pretreat_sam,solution_treatment_poor_solvent,post_process_annealing
5,292,143,2.03,0.56,1,0,1,132,0,0,1,0,1
6,292,143,2.03,0.442,1,0,1,132,0,0,1,0,1
8,292,143,2.03,0.397,1,0,1,132,0,0,1,0,1
5,255,94.4,2.7,0.8,0,1,0,180.1,0,0,1,0,0
10,193.5,50,3.87,0.47,1,1,0,180.1,0,0,0,0,1
10,193.5,50,3.87,1.23,1,1,0,180.1,0,0,0,0,1
10,193.5,50,3.87,0.93,1,1,0,180.1,0,0,0,0,1
10,193.5,50,3.87,1.36,1,1,0,180.1,0,0,0,0,1
8,54.79,20.052,2.73,0.16,0,0,1,62,0,0,1,0,0
8,54.79,20.052,2.73,0.32,0,0,1,62,0,0,1,0,0
12,54.79,20.052,2.73,0.24,0,0,1,62,0,0,1,0,0
12,54.79,20.052,2.73,0.27,0,0,1,62,0,0,1,0,0
27,54.79,20.052,2.73,0.25,0,0,1,62,0,0,1,0,0
27,54.79,20.052,2.73,0.2,0,0,1,62,0,0,1,0,0
4,250,68,3.67,0.8,1,1,0,180.1,0,0,1,0,1
2,204,66,3.1,0.042815914,1,0,1,132,0,0,0,0,1
6,204,66,3.1,0.113931203,1,0,1,132,0,0,0,0,1
10,204,66,3.1,0.061765646,1,0,1,132,0,0,0,0,1
5,204,66,3.1,0.22,1,0,1,132,0,0,0,0,1
5,292,143,2.03,0.105,1,0,1,132,0,0,0,0,1
5,204,66,3.1,0.077,1,0,1,132,0,0,0,0,1
5,110,44,2.5,0.052,1,0,1,132,0,0,0,0,1
5,152,55,2.76,0.047,1,0,1,132,0,0,0,0,1
5,292,143,2.03,0.104,1,0,1,132,0,0,0,0,1
5,204,66,3.1,0.187176952,1,0,1,132,0,1,1,0,1
5,204,66,3.1,0.190528892,1,0,1,132,0,1,1,0,1
5,204,66,3.1,0.180283392,1,0,1,132,0,1,1,0,1
5,204,66,3.1,0.159097091,1,0,1,132,0,1,1,0,1
5,204,66,3.1,0.129223278,1,0,1,132,0,0,1,0,1
5,292,143,2.03,0.143916963,1,0,1,132,0,1,0,0,1
5,292,143,2.03,0.176246253,1,0,1,132,0,1,0,0,1
5,292,143,2.03,0.174301807,1,0,1,132,0,1,0,0,1
5,292,143,2.03,0.092924906,1,0,1,132,0,1,0,0,1
5,292,143,2.03,0.074402888,1,0,1,132,0,0,0,0,1
5,292,143,2.03,0.124165231,1,0,1,132,0,1,1,0,1
5,292,143,2.03,0.370376245,1,0,1,132,0,1,1,0,1
5,292,143,2.03,0.319754,1,0,1,132,0,1,1,0,1
5,292,143,2.03,0.257337819,1,0,1,132,0,1,1,0,1
5,292,143,2.03,0.193502465,1,0,1,132,0,0,1,0,1
2,204,66,3.1,0.012535433,1,0,1,132,0,0,0,0,1
4,204,66,3.1,0.038332987,1,0,1,132,0,0,0,0,1
6,204,66,3.1,0.101182024,1,0,1,132,0,0,0,0,1
7,204,66,3.1,0.198600871,1,0,1,132,0,0,0,0,1
8,204,66,3.1,0.163841797,1,0,1,132,0,0,0,0,1
10,204,66,3.1,0.170187205,1,0,1,132,0,0,0,0,1
2,110,44,2.5,0.000412427,1,0,1,132,0,0,0,0,1
4,110,44,2.5,0.007139338,1,0,1,132,0,0,0,0,1
6,110,44,2.5,0.03741155,1,0,1,132,0,0,0,0,1
8,110,44,2.5,0.072671825,1,0,1,132,0,0,0,0,1
9,110,44,2.5,0.0637786,1,0,1,132,0,0,0,0,1
10,110,44,2.5,0.027641647,1,0,1,132,0,0,0,0,1
12,110,44,2.5,0.046912305,1,0,1,132,0,0,0,0,1
2,204,66,3.1,0.011942893,1,0,1,132,0,0,1,0,1
4,204,66,3.1,0.042119677,1,0,1,132,0,0,1,0,1
6,204,66,3.1,0.148003545,1,0,1,132,0,0,1,0,1
7,204,66,3.1,0.111808435,1,0,1,132,0,0,1,0,1
8,204,66,3.1,0.163626472,1,0,1,132,0,0,1,0,1
10,204,66,3.1,0.141647659,1,0,1,132,0,0,1,0,1
