solution_concentration,polymer_mw,polymer_mn,polymer_dispersity,solution_treatment,substrate_pretreatment,post_process,channel_width,channel_length,film_deposition_type_spin,dielectric_material_SiO2,electrode_configuration_BGBC,electrode_configuration_BGTC,electrode_configuration_TGBC,gate_material_Other,film_deposition_type_MGC,dielectric_material_other,solvent_boiling_point,hole_mobility
7,104,20,5.2,0,1,1,4500,70,0,0,0,0,1,0,1,1,62,0.08
8.5,104,20,5.2,0,1,1,4500,70,0,0,0,0,1,0,1,1,62,0.08
10,104,20,5.2,0,1,1,4500,70,0,0,0,0,1,0,1,1,62,0.08
12,104,20,5.2,0,1,1,4500,70,0,0,0,0,1,0,1,1,62,0.13
14,104,20,5.2,0,1,1,4500,70,0,0,0,0,1,0,1,1,62,0.125
16,104,20,5.2,0,1,1,4500,70,0,0,0,0,1,0,1,1,62,0.05
18,104,20,5.2,0,1,1,4500,70,0,0,0,0,1,0,1,1,62,0.075
25,104,20,5.2,0,1,1,4500,70,0,0,0,0,1,0,1,1,62,0.095
3,104,20,5.2,0,1,1,4500,70,0,0,0,0,1,0,1,1,62,0.055
5,104,20,5.2,0,1,1,4500,70,0,0,0,0,1,0,1,1,62,0.325
7,104,20,5.2,0,1,1,4500,70,0,0,0,0,1,0,1,1,62,0.3
10,104,20,5.2,0,1,1,4500,70,0,0,0,0,1,0,1,1,62,0.35
12,104,20,5.2,0,1,1,4500,70,0,0,0,0,1,0,1,1,62,0.38
14,104,20,5.2,0,1,1,4500,70,0,0,0,0,1,0,1,1,62,0.425
18,104,20,5.2,0,1,1,4500,70,0,0,0,0,1,0,1,1,62,0.4
25,104,20,5.2,0,1,1,4500,70,0,0,0,0,1,0,1,1,62,0.3
3,292,143,2.03,0,1,1,2000,50,0,1,1,0,0,0,1,0,132,0.336
4,292,143,2.03,0,1,1,2000,50,0,1,1,0,0,0,1,0,132,0.401
5,292,143,2.03,0,1,1,2000,50,0,1,1,0,0,0,1,0,132,0.56
6,292,143,2.03,0,1,1,2000,50,0,1,1,0,0,0,1,0,132,0.442
8,292,143,2.03,0,1,1,2000,50,0,1,1,0,0,0,1,0,132,0.397
5,255,94.4,2.7,0,1,0,8800,80,1,1,1,0,0,0,0,0,180.1,0.8
10,193.5,50,3.87,0,1,1,10000,20,1,0,0,0,1,1,0,1,180.1,0.47
10,193.5,50,3.87,0,1,1,10000,20,1,0,0,0,1,1,0,1,180.1,1.23
10,193.5,50,3.87,0,1,1,10000,20,1,0,0,0,1,1,0,1,180.1,0.93
10,193.5,50,3.87,0,0,1,10000,20,1,0,0,0,1,1,0,1,180.1,1.36
8,54.79,20.052,2.73,0,1,0,4400,52,0,1,0,1,0,0,1,0,62,0.16
8,54.79,20.052,2.73,0,1,0,4400,52,0,1,0,1,0,0,1,0,62,0.32
12,54.79,20.052,2.73,0,1,0,4400,52,0,1,0,1,0,0,1,0,62,0.24
12,54.79,20.052,2.73,0,1,0,4400,52,0,1,0,1,0,0,1,0,62,0.27
27,54.79,20.052,2.73,0,1,0,4400,52,0,1,0,1,0,0,1,0,62,0.25
27,54.79,20.052,2.73,0,1,0,4400,52,0,1,0,1,0,0,1,0,62,0.2
