wavelength (nm),Absorbance
800.0099487,-0.026320266
799.0023193,-0.02470365
797.9943237,-0.028018894
796.9859009,-0.028216396
796.0119629,-0.026702072
795.0026855,-0.026704507
793.9931641,-0.030289637
792.9830933,-0.025846766
792.0075684,-0.026775824
790.9967041,-0.030524427
789.9855347,-0.026828585
789.0088501,-0.024259962
787.9968872,-0.026541237
786.984436,-0.026677145
786.0065918,-0.025393503
784.9934082,-0.025179422
784.0147705,-0.027942829
783.0009155,-0.029821705
781.9865112,-0.027797652
781.0068359,-0.026091771
779.9916382,-0.025856815
779.0111084,-0.027225019
777.9952393,-0.030443443
777.0139771,-0.024922023
775.9973145,-0.026264567
775.0152588,-0.028117413
773.9978638,-0.030081337
773.0151367,-0.027414571
771.9968872,-0.024378281
771.0133667,-0.029251929
769.9944458,-0.027661074
769.0101318,-0.027679
767.9904175,-0.023808716
767.0054321,-0.028179182
765.9849243,-0.026427696
764.9991455,-0.027038645
764.0131226,-0.025343595
762.9914551,-0.026857592
762.0046387,-0.027279915
761.0175171,-0.02812702
759.994751,-0.02727763
759.0067749,-0.026945623
757.9833374,-0.025329432
756.9946289,-0.027098915
756.0056763,-0.027629741
755.0162964,-0.026983524
753.991272,-0.02716258
753.0012207,-0.025951728
752.0107422,-0.025644425
750.9845581,-0.026833259
749.9934692,-0.028051995
749.0019531,-0.027016122
748.0101318,-0.026871219
746.9824219,-0.026401097
745.9898682,-0.026895892
744.9970093,-0.02726353
744.0036621,-0.028914308
743.0100098,-0.026335176
742.0160522,-0.026016977
740.9862061,-0.026827222
739.9915161,-0.026775239
738.9963989,-0.028007001
738.0010986,-0.026594173
737.0053101,-0.02646355
736.0092163,-0.025245812
735.0127563,-0.026137207
734.0159302,-0.026662733
732.9832153,-0.027907584
731.9857178,-0.026276555
730.987854,-0.027654225
729.9897461,-0.027270094
728.9911499,-0.026332593
727.9923096,-0.026931804
726.993042,-0.026701976
725.9934692,-0.026384629
724.9935913,-0.026555166
723.9934082,-0.02650013
722.9927368,-0.027100179
721.9918213,-0.026915113
720.9905396,-0.025750902
719.9888916,-0.026154218
718.9869385,-0.027095996
717.9846802,-0.025886472
717.0178223,-0.026850779
716.0148315,-0.02708617
715.0115967,-0.026226163
714.0079346,-0.027097067
713.0039673,-0.026570166
711.9996338,-0.026174253
710.9949341,-0.025751486
709.9899292,-0.025462009
708.9846191,-0.025964361
708.0148926,-0.025979087
707.0089111,-0.026222166
706.0026245,-0.026456632
704.9959717,-0.026200477
703.9889526,-0.02643632
703.0176392,-0.026449716
702.0100098,-0.026272705
701.0020142,-0.026147492
699.9937134,-0.026637707
698.9850464,-0.026329719
698.012146,-0.0270833
697.0029297,-0.024808204
695.9932251,-0.026276359
694.9833374,-0.026006347
694.0091553,-0.025406444
692.9985352,-0.026357297
691.9876099,-0.025929539
691.0125122,-0.025910957
690.0009766,-0.025950413
688.9890747,-0.025947535
688.0130615,-0.025500188
687.0004883,-0.025335927
685.9876709,-0.026202377
685.0106201,-0.025032537
683.9971924,-0.024873966
682.9833374,-0.024266083
682.0054932,-0.025173999
680.9910278,-0.025343839
680.0125122,-0.02540659
678.9974365,-0.025096163
677.9820557,-0.024587767
677.0026245,-0.025546417
675.9865723,-0.023724215
675.0065308,-0.023618368
673.9898682,-0.023640774
673.0092163,-0.023427103
671.9919434,-0.024406718
671.0106812,-0.024449492
669.9927979,-0.023713773
669.0109253,-0.023973653
667.9924316,-0.022675252
667.0099487,-0.024082743
665.9907837,-0.02295191
665.0078125,-0.022680312
663.9879761,-0.021387102
663.0043335,-0.02156434
661.9840088,-0.02250348
660.9997559,-0.021085231
660.0153198,-0.02100439
658.9939575,-0.020596949
658.0088501,-0.020221792
656.9868774,-0.019048741
656.0012817,-0.018567292
655.0152588,-0.017341804
653.9923706,-0.01644671
653.0058594,-0.01588371
651.9824219,-0.013945376
650.9952393,-0.013501748
650.0078125,-0.012092567
648.9834595,-0.009572691
647.9954224,-0.00959634
647.0071411,-0.008285561
645.9818726,-0.005388456
644.992981,-0.003328213
644.0038452,-0.00126295
643.0143433,0.000310769
641.987915,0.004479002
640.9978638,0.005924417
640.0075684,0.008885715
639.0169678,0.012544974
637.9893799,0.015089648
636.9981689,0.018694615
636.0067749,0.0232605
635.0150146,0.025011441
633.9862671,0.028921332
632.9939575,0.033754982
632.0013428,0.036832746
631.0085449,0.041244231
630.0153809,0.04392511
628.9851685,0.047736123
627.9915161,0.050011806
626.9974976,0.052890424
626.0032349,0.05595576
625.008667,0.05846937
624.0139771,0.060680591
622.9819946,0.06349685
621.9866333,0.064398244
620.9910278,0.066347599
619.9950562,0.067148663
618.9989014,0.068085983
618.0024414,0.068566576
617.0056763,0.069762312
616.008667,0.069383129
615.0114136,0.068235867
614.013916,0.069754809
613.0161133,0.06854748
612.0180664,0.06822075
610.9827271,0.067214049
609.9840088,0.066425629
608.9851685,0.066279449
607.9860229,0.064439349
606.9866333,0.064497724
605.9868774,0.062379833
604.9869385,0.061123669
603.9866943,0.060299493
602.986145,0.05854946
601.9854736,0.058145043
600.984436,0.057027575
599.9831543,0.057085082
598.9815674,0.055537306
598.0169067,0.054123256
597.0147705,0.052942645
596.0124512,0.052757524
595.0098267,0.053036992
594.007019,0.052087255
593.0039063,0.052283157
592.0005493,0.052189909
590.9968872,0.052691706
589.992981,0.052160252
588.9888916,0.053399559
587.984375,0.052895483
587.0169678,0.053033363
586.0119629,0.05512898
585.0068359,0.055423152
584.0014038,0.055636071
582.9957275,0.057372902
581.9897461,0.057681456
580.9835815,0.058981415
580.0143433,0.059851933
579.0076904,0.06125024
578.0006714,0.063018546
576.9934692,0.063806586
575.9860229,0.063517764
575.015625,0.064941771
574.0076294,0.066634841
572.9993896,0.067046031
571.9909058,0.068159208
570.9822388,0.068436034
570.0106201,0.069328286
569.0014038,0.069408551
567.9919434,0.070345536
566.9821777,0.070692904
566.0095825,0.071266793
564.9993896,0.072375834
563.9889526,0.07229761
563.015686,0.07214883
562.0046997,0.073149465
560.9935913,0.073320195
559.9821167,0.073337294
559.0079346,0.074032426
557.9959717,0.073830061
556.9838257,0.074245423
556.0089722,0.075205006
554.9962158,0.076087505
553.9833984,0.07714732
553.0078125,0.07669621
551.9944458,0.078640133
551.0183716,0.080884866
550.0045166,0.082016557
548.9904175,0.083905093
548.0136108,0.085557133
546.9990845,0.087133251
545.984314,0.089796804
545.006897,0.093375236
543.9915771,0.095690392
543.0136719,0.099226952
541.9979248,0.101068988
540.9819946,0.10481032
540.0033569,0.108718559
538.9869995,0.113959938
538.0078735,0.118339576
536.9910278,0.122398451
536.0115356,0.127052859
534.9941406,0.132444829
534.0142822,0.138362765
532.9963989,0.142678201
532.0160522,0.149803087
530.9977417,0.156582147
530.0169067,0.163839281
528.99823,0.168947011
528.0169067,0.174579084
526.9977417,0.182770565
526.0160522,0.190350488
524.9963989,0.196999475
524.0142822,0.205117762
522.9940796,0.212938234
522.0115967,0.222351342
520.9910278,0.230478659
520.0080566,0.240191504
518.9869995,0.247606054
518.0036011,0.256121904
516.9820557,0.266106755
515.99823,0.275138497
515.0142212,0.285399407
513.9920044,0.295057118
513.0075684,0.305456489
511.9850464,0.313989669
511.0000916,0.324237227
510.0149536,0.335090339
508.9916687,0.344523251
508.006134,0.354415953
506.9825134,0.365280718
505.996521,0.376295596
505.0103455,0.387832582
503.9860535,0.399711371
502.9994507,0.410310537
502.0126648,0.421376467
500.9876404,0.432326287
500.0004578,0.444836289
499.013092,0.45740214
497.9873657,0.467267335
496.9995728,0.480186403
496.0115662,0.490200847
494.98526,0.502178192
493.9968262,0.514289677
493.0082092,0.528666019
491.9812927,0.539518416
490.9922485,0.547640204
490.0029602,0.558744252
489.0134888,0.572514296
487.9857483,0.582949817
486.9958496,0.592596531
486.0058289,0.601599038
485.0155334,0.613590658
483.986969,0.622613311
482.9963074,0.630498409
482.0054932,0.642097354
481.0144043,0.652007401
479.9850464,0.660883069
478.9935608,0.669831276
478.0018616,0.67943275
477.0100403,0.688411355
476.0180054,0.696684063
474.9875488,0.704028308
473.9950867,0.711082935
473.0025024,0.720520496
472.0096436,0.726451993
471.0166016,0.734451532
469.9851685,0.739346564
468.9917908,0.74634248
467.99823,0.752365291
467.0043945,0.757632315
466.010376,0.763443291
465.0162354,0.767792702
463.9836426,0.773318648
462.9890442,0.778466463
461.9943237,0.779508591
460.9993896,0.784154415
460.0042419,0.787287772
459.0089417,0.788910389
458.0134277,0.792080164
457.0177612,0.793824434
455.9835205,0.795459807
454.9874573,0.797127187
453.9911804,0.799129665
452.994751,0.798345029
451.9981079,0.798746467
451.0013428,0.799364567
450.0043335,0.797914743
449.0071106,0.798049152
448.0097961,0.796058357
447.0122681,0.794697106
446.0145264,0.793223143
445.016571,0.791111231
444.0185547,0.789052308
442.981842,0.78662473
441.983429,0.784193814
440.9847107,0.780709565
439.9859314,0.776229441
438.9869385,0.773303688
437.9877319,0.769273698
436.9884033,0.764809787
435.9888611,0.759992123
434.9891357,0.755701602
433.9891968,0.750207663
432.9891968,0.744734287
431.9889221,0.740435123
430.9884644,0.734116554
429.987915,0.730023205
428.9871521,0.722411037
427.9862061,0.716946721
426.9850464,0.710166574
425.9837646,0.703187823
424.9823303,0.697935164
424.0191956,0.6907354
423.0173645,0.683346272
422.0153503,0.676283479
421.0132141,0.669279814
420.0109253,0.662183225
419.0083618,0.654527664
418.0057373,0.646265388
417.0028992,0.639916003
415.9998779,0.631981432
414.9966431,0.624791443
413.9933472,0.616794348
412.9898376,0.608258665
411.9861145,0.600380302
410.9822693,0.592817009
410.0169067,0.585455835
409.0126648,0.575870454
408.0083313,0.568519652
407.0038452,0.558257282
405.999176,0.55172962
404.9942932,0.543750882
403.9892578,0.536374509
402.9841003,0.528161049
402.017395,0.521359503
401.0119019,0.513586044
400.0062561,0.505176306
399.0003967,0.497793704
397.9944153,0.48840791
396.9882507,0.480671316
395.9819641,0.473431319
395.0141907,0.465911865
394.0075378,0.458918721
393.0007324,0.451945424
391.9937744,0.443010718
390.9866638,0.435362607
390.0181274,0.4275029
389.0107117,0.420729309
388.0031433,0.412818015
386.9953918,0.405896455
385.9874878,0.397519171
385.0181885,0.391789913
384.0100098,0.383895993
383.0016174,0.377726406
381.993103,0.370326191
380.9844055,0.36366576
380.0143738,0.356309116
379.0053711,0.350927204
377.9962463,0.342285186
376.9869385,0.337209791
376.0163574,0.332503259
375.0067444,0.325806052
373.9969788,0.31886211
372.9871216,0.314194769
372.0158997,0.306310833
371.0056763,0.301973879
369.9953003,0.295640528
368.9848022,0.289860576
368.0130615,0.284013599
367.0022583,0.279267967
365.991333,0.272767514
365.019104,0.267628908
364.007843,0.262277097
362.99646,0.257936299
361.9849243,0.252248615
361.0121155,0.248024315
360.0003662,0.24235408
358.9883423,0.238623902
358.0151672,0.233502731
357.0028687,0.230052367
355.990509,0.224633172
355.0168762,0.220669195
354.0041809,0.215797275
352.9913635,0.212522313
352.017334,0.209068298
351.0042114,0.204409137
