wavelength (nm),Absorbance
800.0008545,0.002262987
798.9932861,0.000771284
797.9852905,0.000516033
797.0115967,0.003354907
796.0027466,0.001811311
794.9935303,0.003093675
793.9839478,0.001217024
793.008728,0.002373929
791.998291,0.000270385
790.9873657,0.001801538
790.0111084,0.001158491
788.9993896,0.002038118
787.9874878,0.003381986
787.0100098,0.001996299
785.9971924,0.002482037
784.9839478,0.002155949
784.005249,0.000555117
782.991333,0.002401259
782.0119019,0.002232335
780.9971924,0.002917627
780.0170898,0.002310947
779.0015259,0.001056292
777.9855347,0.001959712
777.0042725,0.001481545
775.9875488,0.000471691
775.0054932,0.002273786
773.9880981,0.001239453
773.0053101,0.002325885
771.9870605,0.000940756
771.0036011,0.00187131
769.9844971,0.003320526
769.0003052,0.001467103
768.015686,0.001918317
766.9954834,0.000897124
766.0101929,0.001136612
764.9891968,0.001790932
764.0031128,0.001913741
763.0167236,0.00266244
761.9946289,0.001340423
761.0073853,0.002103142
759.9845581,0.001867202
758.9966431,0.001313679
758.0083618,0.000997781
756.984375,0.002468108
755.9954224,0.001260091
755.0060425,0.000175568
754.0163574,0.001661247
752.9909058,0.002098252
752.0004272,0.001653036
751.0096436,0.00205843
749.9830933,0.002005323
748.9915771,0.001629001
747.9996338,0.003356655
747.0073853,0.002341318
746.0148315,0.001485623
744.9863892,0.002178374
743.993103,0.00131991
742.9995117,0.000594464
742.0054321,0.002150798
741.0111084,0.002450692
740.0163574,0.002322371
738.9857788,0.000303205
737.9903564,0.000914141
736.9945679,0.002676088
735.9984741,0.002429372
735.0020142,0.001549759
734.005249,0.001347953
733.0079956,0.001987926
732.010498,0.001337125
731.0126953,0.002140834
730.0144653,0.002343738
729.0159302,0.001687753
728.0170288,0.001980488
727.0178223,0.001631287
725.9825439,0.002742588
724.982605,0.002325572
723.9822998,0.001823581
723.017395,0.002140366
722.0164795,0.002061213
721.0151978,0.002079966
720.0135498,0.002086313
719.0115356,0.00226015
718.0092773,0.002058794
717.0065918,0.002252787
716.0036621,0.002350895
715.0003052,0.00255421
713.9966431,0.001820539
712.9926147,0.001923699
711.9882813,0.001918213
710.9835815,0.002109411
710.0145264,0.002290284
709.0091553,0.001600836
708.003479,0.001849135
706.9974976,0.001738456
705.9911499,0.001364987
704.9844971,0.002952367
704.0134277,0.002417971
703.0060425,0.001903236
701.9984131,0.002282373
700.9904175,0.002601681
699.9821167,0.002243549
699.0094604,0.001932695
698.0004883,0.002564156
696.9912109,0.001881215
696.0176392,0.002617853
695.0076294,0.002471987
693.9973755,0.001142918
692.9867554,0.002325754
692.0119629,0.001769229
691.0006714,0.002735737
689.9891357,0.002473601
689.0133667,0.002153087
688.0011597,0.003027225
686.9885864,0.001328686
686.0118408,0.002878512
684.9987793,0.00268312
683.9852295,0.00217814
683.0075684,0.002722087
681.9934082,0.002470087
681.0151978,0.00243627
680.0003662,0.00255184
678.9853516,0.002482141
678.0062256,0.002732533
676.9904175,0.003448438
676.0106812,0.002412791
674.9943237,0.002663846
674.0139771,0.002268712
672.9970093,0.003616531
672.0160522,0.0035012
670.9984741,0.002317765
670.0168457,0.003915559
668.9986572,0.002725552
668.0165405,0.002676713
666.9976196,0.002966728
666.0148926,0.004610814
664.9953613,0.003356759
664.0120239,0.002741416
662.9919434,0.003689964
662.0079346,0.002712762
660.9873047,0.003631462
660.0027466,0.004538559
659.0178833,0.003484264
657.9962769,0.004925346
657.0108643,0.004378451
655.9885864,0.004924822
655.0026245,0.005467766
654.0162964,0.005363316
652.993103,0.006034357
652.0062866,0.005532546
650.9825439,0.005420138
649.9950562,0.006925845
649.0073242,0.006953121
647.982666,0.00700481
646.9943237,0.007363943
646.0057373,0.007920096
645.0167847,0.007783771
643.9909668,0.008131758
643.0014648,0.010178464
642.0117188,0.010650232
640.9849854,0.010054066
639.9946899,0.010227174
639.0039673,0.011683529
638.0131226,0.011499367
636.9852295,0.012106732
635.9937134,0.014458804
635.0020142,0.014035123
634.0099487,0.016131936
633.0176392,0.015955895
631.9882813,0.016620709
630.9954224,0.018048128
630.0022583,0.019035203
629.0087891,0.019535325
628.0151367,0.020467663
626.984314,0.022431144
625.9900513,0.022537764
624.9954834,0.024224089
624.0006104,0.025468864
623.0055542,0.025944522
622.0101929,0.027281476
