wavelength (nm),Absorbance
390.9866638,0.015759362
390.0181274,0.014846737
389.0107117,0.014704953
388.0031433,0.013291078
386.9953918,0.01268011
385.9874878,0.011373022
385.0181885,0.011772648
384.0100098,0.011347937
383.0016174,0.010089964
381.993103,0.008804187
380.9844055,0.008277453
380.0143738,0.007721844
379.0053711,0.007242505
377.9962463,0.005933811
376.9869385,0.005519883
376.0163574,0.005574811
375.0067444,0.004565686
373.9969788,0.003519415
372.9871216,0.003759309
372.0158997,0.002185841
371.0056763,0.002855477
369.9953003,0.001438871
368.9848022,0.001048559
368.0130615,0.000186833
367.0022583,0.000250907
365.991333,-0.000923716
365.019104,-0.001510405
364.007843,-0.002201655
362.99646,-0.002537165
361.9849243,-0.002256304
361.0121155,-0.003004676
360.0003662,-0.00360638
358.9883423,-0.003170818
358.0151672,-0.004232785
357.0028687,-0.004655093
355.990509,-0.005847955
355.0168762,-0.005781699
354.0041809,-0.006952827
352.9913635,-0.006763916
352.017334,-0.007223082
351.0042114,-0.007771835
